,values,ind
483,3,Math
484,4.4,Math
485,6.8,Math
486,5,Math
487,4.75,Physics
488,6.4,Math
489,3,Chemistry
490,5.6,Math
491,5.5,Physics
492,6,Physics
493,3,Physics
494,6,Math
495,3.75,Chemistry
496,4.6,Math
497,6,Physics
498,4.2,Math
499,6.8,Math
500,4,Physics
501,6,Physics
502,3.2,Math
503,4.2,Math
504,5.25,Physics
505,2.6,Math
506,5.2,Math
507,5,Math
508,8,Physics
509,4.5,Chemistry
510,4.75,Chemistry
511,4,Math
512,4.4,Math
513,6,Math
514,6.4,Math
515,3.2,Math
516,5.5,Chemistry
517,2.6,Math
518,5.75,Chemistry
519,5.75,Physics
520,4.4,Math
521,3.25,Chemistry
522,7.5,Physics
523,5,Chemistry
524,6.75,Chemistry
525,4.25,Chemistry
526,3.2,Math
527,6.25,Physics
528,3.8,Math
529,6.6,Math
530,6,Physics
531,5.25,Physics
532,4.8,Math
533,4,Math
534,4.25,Physics
535,4.8,Math
536,6.8,Math
537,6.5,Chemistry
538,3.4,Math
539,3.4,Math
540,3.5,Chemistry
541,5.2,Math
542,7.75,Chemistry
543,4.5,Chemistry
544,4.2,Math
545,4.75,Physics
546,5.8,Math
547,3.5,Physics
548,2.6,Math
549,3.5,Physics
550,3.25,Physics
551,5.25,Chemistry
552,4.6,Math
553,5.25,Chemistry
554,6,Chemistry
555,4.8,Math
556,1.75,Chemistry
557,4,Physics
558,6.2,Math
559,6.8,Math
560,4,Physics
561,5.8,Math
562,5.25,Chemistry
563,6.2,Math
564,4.25,Chemistry
565,3.4,Math
566,5,Chemistry
567,6,Math
568,4.25,Chemistry
569,5.6,Math
570,4,Chemistry
571,4.75,Chemistry
572,4.2,Math
573,3.5,Physics
574,6,Math
575,4.4,Math
576,3,Physics
577,7.4,Math
578,6.25,Chemistry
579,4.25,Chemistry
580,5,Physics
581,5.6,Math
582,4.4,Math
583,2.25,Chemistry
584,4.6,Math
585,2.4,Math
586,3.75,Physics
587,3.4,Math
588,3,Chemistry
589,3.2,Math
590,4.25,Chemistry
591,2.75,Chemistry
592,2.8,Math
593,5,Math
594,6.2,Math
595,4.4,Math
596,5.6,Math
597,3.2,Math
598,1.75,Chemistry
599,4.8,Math
600,4.25,Chemistry
601,2.5,Physics
602,2.6,Math
603,4.5,Physics
604,3.75,Chemistry
605,3.25,Physics
606,6.6,Math
607,5.8,Math
608,6.4,Math
609,6,Chemistry
610,3.5,Chemistry
611,6.25,Physics
612,4.75,Physics
613,5,Physics
614,4,Math
615,5.6,Math
616,5.8,Math
617,4,Chemistry
618,6,Math
619,4.4,Math
620,5.5,Physics
621,3.75,Chemistry
622,3.8,Math
623,6,Chemistry
624,7.5,Physics
625,7.5,Chemistry
626,6,Math
627,5,Chemistry
628,5,Math
629,5.2,Math
630,4.75,Physics
631,5.25,Physics
632,5.25,Chemistry
633,3,Physics
634,2.2,Math
635,5,Math
636,2.6,Math
637,8.25,Chemistry
638,5.4,Math
639,5,Math
640,5.2,Math
641,6,Chemistry
642,3.25,Chemistry
643,1.6,Math
644,6.4,Math
645,5.4,Math
646,2.5,Chemistry
647,4.5,Chemistry
648,3.4,Math
649,6.8,Math
650,4.6,Math
651,6.75,Chemistry
652,5.8,Math
653,5.5,Chemistry
654,6.4,Math
655,2.2,Math
656,6.25,Chemistry
657,7.6,Math
658,6.6,Math
659,4,Physics
660,5.2,Math
661,4.75,Physics
662,3,Chemistry
663,3.5,Chemistry
664,6.75,Physics
665,6.75,Physics
666,2.2,Math
667,7,Physics
668,3.6,Math
669,3.75,Chemistry
670,4.75,Chemistry
671,5.5,Physics
672,5.75,Chemistry
673,7.75,Physics
674,5.4,Math
675,6.75,Chemistry
676,3,Chemistry
677,2.25,Chemistry
678,5.5,Physics
679,6,Math
680,3.25,Physics
681,3.75,Chemistry
682,2,Math
683,3.8,Math
684,5.25,Physics
685,4.25,Physics
686,4.25,Physics
687,4.75,Physics
688,6,Chemistry
689,3.5,Physics
690,5.6,Math
691,4,Math
692,5,Math
693,5.25,Chemistry
694,3.75,Chemistry
695,4.6,Math
696,4.4,Math
697,2.75,Physics
698,5.2,Math
699,7,Math
700,6.25,Physics
701,6.4,Math
702,3.25,Physics
703,7.5,Physics
704,6.8,Math
705,4,Chemistry
706,6.8,Math
707,4,Math
708,7.75,Physics
709,2.6,Math
710,7,Math
711,6.6,Math
712,6.8,Math
713,6.5,Physics
714,6.6,Math
715,5,Math
716,5,Physics
717,5.25,Physics
718,5.5,Physics
719,3.4,Math
720,6.5,Physics
721,7.2,Math
722,8.2,Math
723,4.6,Math
724,7.2,Math
725,3.5,Chemistry
726,7.8,Math
727,5.75,Physics
728,4,Math
729,3.6,Math
730,4.8,Math
731,4.4,Math
732,3.2,Math
733,7,Physics
734,5.6,Math
735,6.25,Physics
736,4.25,Physics
737,7,Math
738,4,Physics
739,3.6,Math
740,3.75,Chemistry
741,6.25,Physics
742,5.8,Math
743,4.75,Physics
744,6.8,Math
745,5.25,Physics
746,4.6,Math
747,5,Math
748,4.2,Math
749,7.6,Math
750,6,Math
751,6.2,Math
752,3,Chemistry
753,3.5,Physics
754,5.2,Math
755,6.8,Math
756,7.5,Physics
757,2,Chemistry
758,3.6,Math
759,7,Physics
760,3.25,Chemistry
761,1.8,Math
762,3,Physics
763,4.8,Math
764,6,Physics
765,6.5,Physics
766,4,Chemistry
767,2.6,Math
768,6.5,Physics
769,4.6,Math
770,3.4,Math
771,7,Math
772,4.6,Math
773,4.6,Math
774,2.5,Chemistry
775,3.75,Physics
776,7.5,Chemistry
777,5.2,Math
778,6.75,Chemistry
779,4,Math
780,4.6,Math
781,4.5,Chemistry
782,5,Math
783,2.8,Math
784,6,Math
785,3.2,Math
786,5.6,Math
787,4,Chemistry
788,4,Chemistry
789,6.75,Physics
790,2,Chemistry
791,4.8,Math
792,4.25,Physics
793,4.4,Math
794,8,Physics
795,6.6,Math
796,5,Chemistry
797,4.75,Physics
798,3.2,Math
799,5.6,Math
800,4.75,Physics
801,4.2,Math
802,4.4,Math
803,7.5,Chemistry
804,3.8,Math
805,7.4,Math
806,5,Physics
807,7.6,Math
808,4.25,Chemistry
809,2.4,Math
810,5.6,Math
811,5.5,Physics
812,4.2,Math
813,5.25,Chemistry
814,5.75,Physics
815,3.4,Math
816,3.4,Math
817,3.25,Chemistry
818,6.75,Chemistry
819,4.5,Chemistry
820,6.6,Math
821,7.75,Chemistry
822,6,Physics
823,5.75,Chemistry
824,4,Chemistry
825,7.2,Math
826,3.25,Chemistry
827,6,Chemistry
828,6.8,Math
829,5,Math
830,7.5,Physics
831,7.5,Physics
832,4.8,Math
833,7,Math
834,9,Chemistry
835,5,Chemistry
836,4.25,Chemistry
837,4,Math
838,2.4,Math
839,3,Chemistry
840,6.5,Chemistry
841,6.75,Chemistry
842,6,Chemistry
843,5.5,Physics
844,5.75,Physics
845,4,Chemistry
846,3.8,Math
847,3.5,Physics
848,5.8,Math
849,6.4,Math
850,3.75,Chemistry
851,5.6,Math
852,4.75,Physics
853,5,Math
854,5.8,Math
855,3.6,Math
856,6.6,Math
857,6.2,Math
858,2.5,Chemistry
859,2.6,Math
860,5.6,Math
861,5.8,Math
862,3.2,Math
863,5.25,Chemistry
864,2.8,Math
865,5,Chemistry
866,4.2,Math
867,4.25,Chemistry
868,6.2,Math
869,6.75,Chemistry
870,5.2,Math
871,5.4,Math
872,6.6,Math
873,6.25,Chemistry
874,4.4,Math
875,4,Math
876,4.8,Math
877,5.75,Chemistry
878,2.6,Math
879,5,Physics
880,5.75,Chemistry
881,6,Math
882,4.5,Physics
883,5.4,Math
884,5.25,Physics
885,5.8,Math
886,6,Physics
887,3.4,Math
888,5.4,Math
889,5.4,Math
890,3.8,Math
891,3.75,Physics
892,3.25,Physics
893,6.25,Physics
894,4,Math
895,5.2,Math
896,4.2,Math
897,5.4,Math
898,4.6,Math
899,2.75,Physics
900,3.8,Math
901,5.8,Math
902,7,Physics
903,3,Chemistry
904,7.5,Chemistry
905,5.25,Physics
906,6.25,Physics
907,6.25,Chemistry
908,3.75,Physics
909,4.8,Math
910,6,Math
911,5,Physics
912,5.2,Math
913,7,Physics
914,6.5,Chemistry
915,4.8,Math
916,3.2,Math
917,6.2,Math
918,2,Math
919,3,Math
920,7.8,Math
921,2.8,Math
922,5.6,Math
923,6,Chemistry
924,6.5,Chemistry
925,5.75,Physics
926,8.5,Physics
927,8.25,Physics
928,5.5,Chemistry
929,2.6,Math
930,8.5,Physics
931,3,Chemistry
932,4.2,Math
933,5,Math
934,4.25,Physics
935,6,Chemistry
936,5.25,Chemistry
937,5.25,Chemistry
938,6,Chemistry
939,4.8,Math
940,6,Math
941,5.4,Math
942,6.4,Math
943,6.6,Math
944,5.6,Math
945,2.25,Chemistry
946,7.75,Physics
947,5,Physics
948,6.8,Math
949,4.2,Math
950,5,Physics
951,4.5,Chemistry
952,6.6,Math
953,4,Physics
954,4,Chemistry
955,3.8,Math
956,5,Physics
957,5.5,Chemistry
958,5.8,Math
959,5.4,Math
960,6,Math
961,4,Chemistry
962,6,Physics
963,5.6,Math
964,4.6,Math
965,4.6,Math
966,5.25,Chemistry
967,6,Math
968,6,Chemistry
969,6.2,Math
970,6.2,Math
971,6.25,Chemistry
972,4.4,Math
973,5.25,Physics
974,5.25,Chemistry
975,7,Math
976,5.5,Physics
977,3,Math
978,5.75,Chemistry
979,3.4,Math
980,3,Math
981,5.25,Chemistry
982,7.4,Math
983,4.8,Math
984,5.8,Math
985,5.25,Chemistry
986,2,Math
987,3.4,Math
988,5.2,Math
989,5.5,Chemistry
990,5.25,Chemistry
991,4,Math
992,5.4,Math
993,7,Physics
994,5,Chemistry
995,2.5,Chemistry
996,4.4,Math
997,3,Physics
998,3.8,Math
999,3.8,Math
1000,3,Math

