Purchase Orders,,,,,,,,,,,,
,,,,,,,,,,,VALUES,
Hulkey Fasteners,C7875,3166,Electrical Connector,$1.25 ,"5,650",7062.50,30,9/5/2011,9/10/2011,,,
Hulkey Fasteners,C8854,3166,Electrical Connector,$1.25 ,"5,425",6781.25,30,9/10/2011,9/15/2011,,,
Hulkey Fasteners,C8989,9966,Hatch Decal,$0.75 ,500,375.00,30,8/25/2011,8/31/2011,,,
Hulkey Fasteners,D1212,5066,Shielded Cable/ft.,$0.95 ,"17,500",16625.00,30,9/15/2011,9/22/2011,,,
Hulkey Fasteners,D2121,1122,Airframe fasteners,$4.25 ,"17,500",74375.00,30,10/25/2011,11/3/2011,,,
Hulkey Fasteners,D3232,1122,Airframe fasteners,$4.25 ,"17,000",72250.00,30,10/11/2011,10/19/2011,,,
Manley Valve,A2345,6431,O-Ring,$2.85 ,"1,250",3562.50,30,10/5/2011,10/10/2011,,,
Manley Valve,A2356,7258,Pressure Gauge,$100.50 ,95,9547.50,30,10/20/2011,10/29/2011,,,
Manley Valve,A2367,9977,Panel Decal,$1.00 ,525,525.00,30,11/1/2011,11/7/2011,,,
Manley Valve,A2378,6431,O-Ring,$2.85 ,"1,350",3847.50,30,10/1/2011,10/7/2011,,,
Manley Valve,A9821,6431,O-Ring,$2.85 ,"1,300",3705.00,30,9/25/2011,10/1/2011,,,
Manley Valve,A9842,7258,Pressure Gauge,$100.50 ,100,10050.00,30,10/15/2011,10/24/2011,,,
Manley Valve,A9865,9967,Hatch Decal,$0.85 ,550,467.50,30,11/5/2011,11/11/2011,,,
Manley Valve,A9876,9955,Door Decal,$0.55 ,150,82.50,30,11/1/2011,11/6/2011,,,
Manley Valve,C1111,9955,Door Decal,$0.55 ,125,68.75,30,11/5/2011,11/10/2011,,,
Manley Valve,C2222,7258,Pressure Gauge,$100.50 ,90,9045.00,30,10/10/2011,10/17/2011,,,
Manley Valve,C3333,8148,Machined Valve,$655.50 ,125,81937.50,30,10/10/2011,10/17/2011,,,
Pylon Accessories,A9999,6433,O-Ring,$2.95 ,"1,500",4425.00,15,10/1/2011,10/10/2011,,,
Pylon Accessories,B1111,9764,Gasket,$3.75 ,"1,980",7425.00,15,9/20/2011,9/29/2011,,,
Pylon Accessories,C2211,9764,Gasket,$3.75 ,"1,850",6937.50,15,9/25/2011,10/5/2011,,,
Pylon Accessories,D1111,9764,Gasket,$3.75 ,"1,800",6750.00,15,9/28/2011,10/5/2011,,,
Pylon Accessories,D3333,9764,Gasket,$3.75 ,"1,750",6562.50,15,9/20/2011,9/25/2011,,,
Spacetime Technologies,A0111,6489,O-Ring,$3.00 ,900,2700.00,25,10/10/2011,10/18/2011,,,
Spacetime Technologies,A0533,9752,Gasket,$4.05 ,"1,500",6075.00,25,9/20/2011,9/25/2011,,,
Spacetime Technologies,A0555,6489,O-Ring,$3.00 ,"1,100",3300.00,25,10/5/2011,10/10/2011,,,
Spacetime Technologies,A0622,9752,Gasket,$4.05 ,"1,550",6277.50,25,9/25/2011,10/5/2011,,,
Spacetime Technologies,A0666,5125,Shielded Cable/ft.,$1.15 ,"15,000",17250.00,25,10/1/2011,10/15/2011,,,
Spacetime Technologies,A0777,6489,O-Ring,$3.00 ,"1,050",3150.00,25,10/29/2011,11/10/2011,,,
Spacetime Technologies,A1222,4111,Bolt-nut package,$3.55 ,"4,200",14910.00,25,9/15/2011,10/15/2011,,,
Spacetime Technologies,A1444,4111,Bolt-nut package,$3.55 ,"4,250",15087.50,25,9/20/2011,10/10/2011,,,
Spacetime Technologies,A1445,4111,Bolt-nut package,$3.55 ,"4,200",14910.00,25,9/25/2011,10/25/2011,,,
Spacetime Technologies,A1449,4111,Bolt-nut package,$3.55 ,"4,600",16330.00,25,10/5/2011,10/19/2011,,,
Spacetime Technologies,A3467,4111,Bolt-nut package,$3.55 ,"4,800",17040.00,25,9/5/2011,9/20/2011,,,
Spacetime Technologies,A5689,4111,Bolt-nut package,$3.55 ,"4,585",16276.75,25,9/10/2011,9/30/2011,,,
Steelpin Inc.,A0115,5319,Shielded Cable/ft.,$1.10 ,"17,500",19250.00,30,8/20/2011,8/31/2011,,,
Steelpin Inc.,A0123,4312,Bolt-nut package,$3.75 ,"4,250",15937.50,30,8/25/2011,9/1/2011,,,
Steelpin Inc.,A0204,5319,Shielded Cable/ft.,$1.10 ,"16,500",18150.00,30,9/15/2011,10/5/2011,,,
Steelpin Inc.,A0205,5677,Side Panel,$195.00 ,120,23400.00,30,11/2/2011,11/13/2011,,,
Steelpin Inc.,A0207,4312,Bolt-nut package,$3.75 ,"4,200",15750.00,30,9/1/2011,9/10/2011,,,
Steelpin Inc.,B0445,4312,Bolt-nut package,$3.75 ,"4,150",15562.50,30,9/3/2011,9/11/2011,,,
Steelpin Inc.,B3022,5677,Side Panel,$195.00 ,110,21450.00,30,11/5/2011,11/17/2011,,,
Steelpin Inc.,B3041,5234,Electrical Connector,$1.65 ,"4,500",7425.00,30,8/28/2011,9/5/2011,,,
Steelpin Inc.,B3042,5234,Electrical Connector,$1.65 ,"4,750",7837.50,30,9/5/2011,9/13/2011,,,
Steelpin Inc.,B3111,5234,Electrical Connector,$1.65 ,"4,850",8002.50,30,9/2/2011,9/11/2011,,,
Steelpin Inc.,B3222,8008,Machined Valve,$645.00 ,150,96750.00,30,10/15/2011,10/26/2011,,,
Steelpin Inc.,B3333,8008,Machined Valve,$645.00 ,100,64500.00,30,10/10/2011,10/21/2011,,,
Steelpin Inc.,C0456,5677,Side Panel,$195.00 ,130,25350.00,30,10/28/2011,11/7/2011,,,
Steelpin Inc.,C0467,8008,Machined Valve,$645.00 ,120,77400.00,30,10/28/2011,11/4/2011,,,
Steelpin Inc.,C0589,5319,Shielded Cable/ft.,$1.10 ,"18,100",19910.00,30,8/25/2011,9/5/2011,,,

